"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"qif3gWXteMyvS+9EOkxARNvLYuWr+zPNmGFHvOPfej8=","qif3gWXteMyvS+9EOkxARNvLYuWr+zPNmGFHvOPfej8=","qif3gWXteMyvS+9EOkxARNvLYuWr+zPNmGFHvOPfej8=","","","","0","0","2017-10-19","zh-CN"
"E4sqELDq9uh0jsJxLwMVU5XfZUeLP6ieMcgzesrZJc=","E4sqELDq9uh0jsJxLwMVU5XfZUeLP6ieMcgzesrZJc=","E4sqELDq9uh0jsJxLwMVU5XfZUeLP6ieMcgzesrZJc=","","","","1","1","2017-07-28","zh-cn"
"gPgWTXw45kgivx7QgLGhQhOA7HODOjz+Ezd4j80NFU=","gPgWTXw45kgivx7QgLGhQhOA7HODOjz+Ezd4j80NFU=","gPgWTXw45kgivx7QgLGhQhOA7HODOjz+Ezd4j80NFU=","","","","0","32","2017-08-30","zh-cn"
"129707410","RekhBht","RekhBht","","","","11659","45","2010-04-05","zh-cn"
"DGiXfb1glgfiAAK4VcZ2jdml1OBsNCmOWAV9M2eK70=","DGiXfb1glgfiAAK4VcZ2jdml1OBsNCmOWAV9M2eK70=","DGiXfb1glgfiAAK4VcZ2jdml1OBsNCmOWAV9M2eK70=","","","","0","28","2017-08-30","zh-cn"
"i+umy3ulTJjWhSCo7NbjUxpFGli2atHOHGFhoBihFc=","i+umy3ulTJjWhSCo7NbjUxpFGli2atHOHGFhoBihFc=","i+umy3ulTJjWhSCo7NbjUxpFGli2atHOHGFhoBihFc=","","","","0","8","2017-11-10","zh-cn"
"6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","6MBKJju7I8Oj2Wrz9o2jKp0X1WvY6KtbGdVThJTJWk8=","","本推特只是追蹤郭文貴的新聞和動態， 謝謝關注。","","47","203","2013-03-29","zh-cn"
"1532024256","Christinz 🤦‍♀️ ‏","follfuncobers","UK","It is unacceptable that Toby got a backstory before Beth. Beth backstory better be flames. I’m not playing with you #ThisIsUs","","29208","200","2013-06-19","zh-cn"
"4eskmrlcigyqF3Hl3LisQM2YpnY93nPEFdpnanTeZk=","4eskmrlcigyqF3Hl3LisQM2YpnY93nPEFdpnanTeZk=","4eskmrlcigyqF3Hl3LisQM2YpnY93nPEFdpnanTeZk=","","","","0","18","2017-11-13","zh-cn"
"917104169466716160","雪域雄鹰","valentinovchar4","","1970年生，经历六四，现居中国","","16835","24","2017-10-08","zh-cn"
"QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","QjfysoCl3BYjq1YTp1kX4IHZYQdidXbGyq8GY4A3TwY=","","","","1","8","2013-03-24","en"
"4889276451","珍生","routeggupuc1980","Los Angeles, CA","routeggupuc1980","","24461","72","2016-02-08","zh-cn"
"TFtZnPwKWRkLnF+JuX+PbmtZXbG+MJA7T14NyLA7OdY=","TFtZnPwKWRkLnF+JuX+PbmtZXbG+MJA7T14NyLA7OdY=","TFtZnPwKWRkLnF+JuX+PbmtZXbG+MJA7T14NyLA7OdY=","","","","0","34","2017-08-18","ru"
"NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","NxLc2v6GqUb9CoBOMsvSqpMwgZ4S9HUV3j74fw6MLs=","Рязань, Россия","","","3","29","2016-11-07","ru"
"kiJKK0oUGhzFYiUgBvbi7g8gKTGN9v66Zp8tC7rN9fg=","kiJKK0oUGhzFYiUgBvbi7g8gKTGN9v66Zp8tC7rN9fg=","kiJKK0oUGhzFYiUgBvbi7g8gKTGN9v66Zp8tC7rN9fg=","","","","3","0","2017-11-04","zh-cn"
"19963172","spiritua","yourspiritualm","KA","spiritual miracle","","14558","12129","2009-02-03","en"
"xPOGrcAaCBG9jTV66YkVoTSPdl8VWMuXnDxq1q9cFXg=","xPOGrcAaCBG9jTV66YkVoTSPdl8VWMuXnDxq1q9cFXg=","xPOGrcAaCBG9jTV66YkVoTSPdl8VWMuXnDxq1q9cFXg=","","","","0","3","2017-09-23","zh-cn"
"747319777203363840","清风","osipodincov3","","","","12607","39","2016-06-27","zh-cn"
"745790133274804225","The man from toilet","dgromovge","","Exam,Exam How to do","","51608","131","2016-06-23","zh-cn"
"0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","0Mv1uANgsjUtIr9lOR7O3usk6CCfDZ13UUWTzgDo=","","","","1","36","2017-08-30","zh-cn"
"213459414","Tiotincta","tiotinctasi","MA","Tiotincta Business","","14694","12192","2010-11-09","zh-cn"
"CO8OwDGGOfUNXAEm38NC02nRSUwnvfZ0Hop3tPDHjeM=","CO8OwDGGOfUNXAEm38NC02nRSUwnvfZ0Hop3tPDHjeM=","CO8OwDGGOfUNXAEm38NC02nRSUwnvfZ0Hop3tPDHjeM=","","","","127","9","2017-08-27","zh-cn"
"t8LUWFz+mJSOo3fz5F7KF9PvS28YP+fDO2cDijcev0=","t8LUWFz+mJSOo3fz5F7KF9PvS28YP+fDO2cDijcev0=","t8LUWFz+mJSOo3fz5F7KF9PvS28YP+fDO2cDijcev0=","","","","0","35","2017-08-18","ru"
"EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","EDMHm9WjZU3tz+uK5TwNF0SMBk5yu4otjBUXoSqubFI=","","","","1","52","2017-08-18","ru"
"3388184553","中","lacy6ysjodin","Austin, TX","lacy6ysjodin","","14340","6083","2015-07-22","en"
"53322799","hristopherHiax","ChristopherHiax","The Netherlands","hristopherHiax","","41522","62","2009-07-03","zh-cn"
"JzmQ4Pu4BP8RiwA7U7UsPXuJ2jgNeAOZsLG7vLAW9Y=","JzmQ4Pu4BP8RiwA7U7UsPXuJ2jgNeAOZsLG7vLAW9Y=","JzmQ4Pu4BP8RiwA7U7UsPXuJ2jgNeAOZsLG7vLAW9Y=","","","","1","37","2017-08-18","ru"
"ShqocuQ17a4kahplKvE9r+4j6RzdbwiGGDjW+Q0SsQg=","ShqocuQ17a4kahplKvE9r+4j6RzdbwiGGDjW+Q0SsQg=","ShqocuQ17a4kahplKvE9r+4j6RzdbwiGGDjW+Q0SsQg=","","","","2","52","2017-08-30","zh-cn"
"D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","D3ZwcCm1Q1WNkKWaakHKQ+JUEFVJlkVudsGO4RPWwzw=","","","","3","6","2017-11-01","zh-cn"
"QXD63rd8qkQlqN1uWXQi6UfFd+BPIwdUxJbCPGT2lE=","QXD63rd8qkQlqN1uWXQi6UfFd+BPIwdUxJbCPGT2lE=","QXD63rd8qkQlqN1uWXQi6UfFd+BPIwdUxJbCPGT2lE=","","","","0","0","2017-10-28","zh-cn"
"46U5y6fKwjnYEOhwQj17+2tsUXVL1aNGotLLUITHFks=","46U5y6fKwjnYEOhwQj17+2tsUXVL1aNGotLLUITHFks=","46U5y6fKwjnYEOhwQj17+2tsUXVL1aNGotLLUITHFks=","","","","0","18","2017-08-18","zh-cn"
"R55uxkN8vFxejwlOJCbRnR9dpdTgHX3ay7eXk3RuoHg=","R55uxkN8vFxejwlOJCbRnR9dpdTgHX3ay7eXk3RuoHg=","R55uxkN8vFxejwlOJCbRnR9dpdTgHX3ay7eXk3RuoHg=","","","","0","0","2017-11-14","zh-cn"
"vD6lTBWfkvyOpTLX7U65CB49C7cDnarRCLwN0Iw4rw=","vD6lTBWfkvyOpTLX7U65CB49C7cDnarRCLwN0Iw4rw=","vD6lTBWfkvyOpTLX7U65CB49C7cDnarRCLwN0Iw4rw=","","","","0","0","2017-11-10","zh-cn"
"NtAUBiyMzU2lWiYxEAd5ZfZzgZlb5mEN8Mpp88=","NtAUBiyMzU2lWiYxEAd5ZfZzgZlb5mEN8Mpp88=","NtAUBiyMzU2lWiYxEAd5ZfZzgZlb5mEN8Mpp88=","","","","0","42","2017-08-18","zh-cn"
"R7pjc1cNAo3hSuOTKfqi4yg43iy9MdzvxzptUaYPQKQ=","R7pjc1cNAo3hSuOTKfqi4yg43iy9MdzvxzptUaYPQKQ=","R7pjc1cNAo3hSuOTKfqi4yg43iy9MdzvxzptUaYPQKQ=","","","","0","8","2017-08-30","zh-cn"
"TFxkBbtzXr6v65NE6Dp0dIWRDVMsHkdilMw2kdMRMok=","TFxkBbtzXr6v65NE6Dp0dIWRDVMsHkdilMw2kdMRMok=","TFxkBbtzXr6v65NE6Dp0dIWRDVMsHkdilMw2kdMRMok=","","","","0","0","2013-03-29","en"
"1064610348","旁观的渊明","sabohc","","","","21148","26","2013-01-06","zh-cn"
"4057984825","前尘往事","baillopud5","California, USA","cool","","17116","76","2015-10-29","zh-tw"
"Tx7aLc8tnLLlpIKElm++k6eYV9JpbJ9G7HRRlyycHU=","Tx7aLc8tnLLlpIKElm++k6eYV9JpbJ9G7HRRlyycHU=","Tx7aLc8tnLLlpIKElm++k6eYV9JpbJ9G7HRRlyycHU=","","","","0","0","2017-10-31","zh-cn"
"vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","vMm2zemFOF7kmXoDyX24Bo+TorqhNutpZlATYyxsE=","","","","1","52","2017-08-30","zh-cn"
"JJ+0HruiLLjohNI0DRkB4+qGoi78f8mawFl9WT7BKVk=","JJ+0HruiLLjohNI0DRkB4+qGoi78f8mawFl9WT7BKVk=","JJ+0HruiLLjohNI0DRkB4+qGoi78f8mawFl9WT7BKVk=","","","","0","0","2017-10-16","zh-cn"
"y2hnNEXexBQB9hdwOYk6r9Wi9u8bz3ut2EurcYQs=","y2hnNEXexBQB9hdwOYk6r9Wi9u8bz3ut2EurcYQs=","y2hnNEXexBQB9hdwOYk6r9Wi9u8bz3ut2EurcYQs=","Москва","Резьба по дереву  #  .  канд-т#Воздухоплаватель","","0","0","2015-11-22","zh-cn"
"yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","yQ2168dsvgRju8fSyjt8cpAJMyL5nYP5FPa91ep34Ik=","华夏","","","1","8","2016-06-24","zh-cn"
"aPUSrOvMbJCmMI6WEylfaJOH8HUW3C1peP4NwOoaw=","aPUSrOvMbJCmMI6WEylfaJOH8HUW3C1peP4NwOoaw=","aPUSrOvMbJCmMI6WEylfaJOH8HUW3C1peP4NwOoaw=","","","","0","34","2017-08-18","zh-cn"
"mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","mxZ1auZT3Uk2tNtsT3jk42gR5BPYOtSRPOQx1kNzo=","","","","4","105","2017-10-17","en"
"uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","uSeViCRXvlKQSSTLmiXtHlH9jQbLI+diQQ6vZeoylk=","","","","2","32","2017-10-18","zh-cn"
"O+mTB8827pgcHrV4vUBogEcV2c37vH3eD4q3QbXIhgc=","O+mTB8827pgcHrV4vUBogEcV2c37vH3eD4q3QbXIhgc=","O+mTB8827pgcHrV4vUBogEcV2c37vH3eD4q3QbXIhgc=","","","","1","36","2017-08-18","zh-cn"
"6WYB04yH4XXt5Ge6k1naSNnZDJKrU06WyzzDrdfmtAg=","6WYB04yH4XXt5Ge6k1naSNnZDJKrU06WyzzDrdfmtAg=","6WYB04yH4XXt5Ge6k1naSNnZDJKrU06WyzzDrdfmtAg=","","","","6","105","2017-08-30","zh-cn"
"884689848401047552","worldnewsnow","xinwenshijie","","","","23091","26","2017-07-11","zh-cn"
"rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","","","","10","125","2017-11-01","zh-cn"
"uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","uWa3OiW0tdEe4m+sQY8OYQda1EQECQc8JANM7z1Bw0=","","","","1","2","2019-02-27","zh-cn"
"916975232048685059","李默","katiushaegorov2","浙江, 中华人民共和国","热情、善良、自律、友好，喜爱音乐，喜爱读书，喜爱足球，喜爱旅游……","https://t.co/bnT7P3Cky1","17495","124","2017-10-08","zh-cn"
"2273361559","火箭金","1ertyufgh","Mississippi, USA","Bitcoin","","16820","4812","2014-01-02","zh-cn"
"akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","akAOLhHc5U7T63PImUbYLQBCgpt9PFBade7mZpMJeE=","Brasil","","","2","14","2011-01-25","zh-cn"
"hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","hTAnmohgZF9ZUSz9VcUlOQfz0TtbWR3E3SSnd5IzMr4=","","","","50","81","2017-08-19","zh-cn"
"crbx7g789rw47X3llBQ22F90SJ2rja4B2UyDuC+zyk=","crbx7g789rw47X3llBQ22F90SJ2rja4B2UyDuC+zyk=","crbx7g789rw47X3llBQ22F90SJ2rja4B2UyDuC+zyk=","","","","0","42","2017-08-18","ru"
"8psZRW4YksSD8GV8mKdP96H5xzDo34ilPgMfoBca6yo=","8psZRW4YksSD8GV8mKdP96H5xzDo34ilPgMfoBca6yo=","8psZRW4YksSD8GV8mKdP96H5xzDo34ilPgMfoBca6yo=","","","","2","53","2017-08-30","zh-cn"
"+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","+tWjRtk2y+tQC4lPcwvbUCJLEDoQOXRGNyH2vs+pTj0=","","國家 名人新聞 新聞 科學 生活方式 電影 音樂 評論","","15","87","2016-08-09","zh-cn"
"BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","BRu6Hx1IvaU02Hs69Dtt2k1LcW+UqN4L8spJ7iVVbok=","","","","2","4","2017-11-03","zh-cn"
"158077925","雅儿","Eobvmae36","CA","Dietexvibo","","13553","174","2010-06-21","zh-cn"
"3167764260","orindasau9","orindasau9","Oak Park, IL","orindasau9","","13402","3410","2015-04-22","zh-cn"
"fYG5dn5uZw6SJ35z+hmvvX1KzbR1eSX2he3iif8IZJQ=","fYG5dn5uZw6SJ35z+hmvvX1KzbR1eSX2he3iif8IZJQ=","fYG5dn5uZw6SJ35z+hmvvX1KzbR1eSX2he3iif8IZJQ=","","","","5","88","2017-08-30","zh-cn"
"103804719","摩天轮约炮平台微信xdmtlove765","ronetaper","USA","Ronetaper","","13268","61","2010-01-11","en"
"yKiymCqTpDowo8POyaVICiVHOHwhlEWRH66yquGcA=","yKiymCqTpDowo8POyaVICiVHOHwhlEWRH66yquGcA=","yKiymCqTpDowo8POyaVICiVHOHwhlEWRH66yquGcA=","","","","0","2","2018-04-02","zh-cn"
"747289319384055808","叮叮当","dengni0","","","","12613","150","2016-06-27","zh-cn"
"yiWRAxVqwCgCTo1W1U2nCoZH8hiZOMsotoiPDHrs=","yiWRAxVqwCgCTo1W1U2nCoZH8hiZOMsotoiPDHrs=","yiWRAxVqwCgCTo1W1U2nCoZH8hiZOMsotoiPDHrs=","","","","0","0","2017-09-27","ru"
"OVXTD7wTpbLyyw57735CqVwIHvP9qkuEfHAS5SNxLFY=","OVXTD7wTpbLyyw57735CqVwIHvP9qkuEfHAS5SNxLFY=","OVXTD7wTpbLyyw57735CqVwIHvP9qkuEfHAS5SNxLFY=","","","","0","0","2018-12-20","zh-cn"
"OEyw70Jb0YHEfKqvzSeCnPWSzMzXuLXeHkZuCnsG1I=","OEyw70Jb0YHEfKqvzSeCnPWSzMzXuLXeHkZuCnsG1I=","OEyw70Jb0YHEfKqvzSeCnPWSzMzXuLXeHkZuCnsG1I=","","","","1","47","2017-08-30","zh-cn"
"983568071179644933","海阔天空","Justin19950203","","","","32406","37","2018-04-10","zh-cn"
"915717733777592320","沧海","KOW0QdnnkDfgvC7","","","","45976","119","2017-10-04","zh-cn"
"iisI2eWohGCwejfLCIgpnONItG2ouWV0aBIfNp2AL4=","iisI2eWohGCwejfLCIgpnONItG2ouWV0aBIfNp2AL4=","iisI2eWohGCwejfLCIgpnONItG2ouWV0aBIfNp2AL4=","","","","0","18","2017-08-18","zh-cn"
"xjybpLlX9R0bVaIVUVpMHTyhzBnr4fmtdJsvOOSj0ZQ=","xjybpLlX9R0bVaIVUVpMHTyhzBnr4fmtdJsvOOSj0ZQ=","xjybpLlX9R0bVaIVUVpMHTyhzBnr4fmtdJsvOOSj0ZQ=","los","《江城子》 苏轼
十年生死两茫茫，不思量，自难忘。
千里孤坟，无处话凄凉。 纵使相逢应不识，尘满面，鬓如霜。
夜来幽梦忽还乡，小轩窗，正梳妆。
相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。","","0","43","2017-10-10","zh-cn"
"928938372948574208","美食的诱惑","zd88888888","","100℅ followback","","12651","11605","2017-11-10","zh-cn"
"747295026225393664","llyky o","gulnaralebedev5","","","","52590","85","2016-06-27","zh-cn"
"smV1SlSa1GfmpJIWQMtJTxuk6mHaUYyB4hkJrlIt0jM=","smV1SlSa1GfmpJIWQMtJTxuk6mHaUYyB4hkJrlIt0jM=","smV1SlSa1GfmpJIWQMtJTxuk6mHaUYyB4hkJrlIt0jM=","","","","16","16","2017-06-03","zh-cn"
"IFL1E0m0SRX2cdOtuLFV7xKtnBgxagKzNgkuGFvNtvs=","IFL1E0m0SRX2cdOtuLFV7xKtnBgxagKzNgkuGFvNtvs=","IFL1E0m0SRX2cdOtuLFV7xKtnBgxagKzNgkuGFvNtvs=","","","","2","0","2017-10-17","zh-cn"
"760761981854883840","浪冲","honyBurchr","Los Angeles, CA","AnthonyBurchr","","14708","11720","2016-08-03","zh-cn"
"fep8jI+wKc9VTapZBBvjaT+X8CaKSCqWl77tMYpEsrU=","fep8jI+wKc9VTapZBBvjaT+X8CaKSCqWl77tMYpEsrU=","fep8jI+wKc9VTapZBBvjaT+X8CaKSCqWl77tMYpEsrU=","","","","0","17","2017-08-18","zh-cn"
"cCKfbv54Zb1Ae41LVtAdUXtpIKCgIVLLYQuiXkx6k=","cCKfbv54Zb1Ae41LVtAdUXtpIKCgIVLLYQuiXkx6k=","cCKfbv54Zb1Ae41LVtAdUXtpIKCgIVLLYQuiXkx6k=","","","","1","4","2017-11-05","zh-cn"
"PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","PcR1mdPvMdAaMQplmX87ENMsedGz19lvDsQCYK7PArY=","","","","7","22","2017-07-11","zh-cn"
"fmegscydeAVmjeppt58DsEQ3W9MdXeBQ5BDeRP5kpY=","fmegscydeAVmjeppt58DsEQ3W9MdXeBQ5BDeRP5kpY=","fmegscydeAVmjeppt58DsEQ3W9MdXeBQ5BDeRP5kpY=","","","","2","44","2017-10-19","zh-cn"
"ONnJCz7hQhO4w0s33iPYi374JXIsRJO8MaWGxj4g=","ONnJCz7hQhO4w0s33iPYi374JXIsRJO8MaWGxj4g=","ONnJCz7hQhO4w0s33iPYi374JXIsRJO8MaWGxj4g=","","","","0","0","2017-11-10","zh-cn"
"339311442","张雅","maksmkas6g","Chicago, IL","爱，是平淡的生活。","","22873","27203","2011-07-20","zh-cn"
"1RCLVCofrSR8pGgDV+QILLIm7aEseLjo4tNvGyrRLc=","1RCLVCofrSR8pGgDV+QILLIm7aEseLjo4tNvGyrRLc=","1RCLVCofrSR8pGgDV+QILLIm7aEseLjo4tNvGyrRLc=","","","","0","0","2017-10-14","zh-cn"
"KukMtT6doWdiGlNA7B0LmfTpU15vNT+ELBqo0GSRJrw=","KukMtT6doWdiGlNA7B0LmfTpU15vNT+ELBqo0GSRJrw=","KukMtT6doWdiGlNA7B0LmfTpU15vNT+ELBqo0GSRJrw=","","","","0","0","2017-11-06","en"
"825851272515375105","同人泰","TongrenThai","Los Angeles, CA","TongrenThai","","11364","12216","2017-01-29","en"
"tsAkVnRHXO97s3qyXHaqBlRPeqcWmBzU8ytG1NKXRE=","tsAkVnRHXO97s3qyXHaqBlRPeqcWmBzU8ytG1NKXRE=","tsAkVnRHXO97s3qyXHaqBlRPeqcWmBzU8ytG1NKXRE=","","","","0","32","2017-08-30","zh-cn"
"rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","rCtCvxxhYCygXEZQ+9DRMFgbdIhI+4DXnRvKrSW28=","","","","1","46","2017-08-18","ru"
"+zHuUqVPrUHHxq+1nGYzS+E2uMkQVDMMIVSTU89v5ro=","+zHuUqVPrUHHxq+1nGYzS+E2uMkQVDMMIVSTU89v5ro=","+zHuUqVPrUHHxq+1nGYzS+E2uMkQVDMMIVSTU89v5ro=","","i am penney ,i like  jennfu","","0","66","2017-11-08","en"
"28011774","pansdustruka198","pansdustruka198","Long Beach, CA","pansdustruka198","","14038","12549","2009-04-01","zh-cn"
"zExVRLGbXrjsNBk4I2G6RHBD8qn+iCpIkQ7Zc4USklM=","zExVRLGbXrjsNBk4I2G6RHBD8qn+iCpIkQ7Zc4USklM=","zExVRLGbXrjsNBk4I2G6RHBD8qn+iCpIkQ7Zc4USklM=","","","","0","0","2017-10-13","zh-cn"
"212010882","北极的天空","KondratevFortu","California, USA","Kondratev Fortun","","11461","4160","2010-11-04","zh-cn"
"q7MGc0X7b+PbM6+PoxeYsxohYTRJJrWFP6akKGminSY=","q7MGc0X7b+PbM6+PoxeYsxohYTRJJrWFP6akKGminSY=","q7MGc0X7b+PbM6+PoxeYsxohYTRJJrWFP6akKGminSY=","","","","0","30","2017-08-18","zh-cn"
"1057565460328275968","合法宝cg","HHbvgfz","","","","11374","12476","2018-10-31","zh-cn"
"ec0wqTzrYQVc91UtIdO5AyGf19fPmb7aoYdIQIAcRlg=","ec0wqTzrYQVc91UtIdO5AyGf19fPmb7aoYdIQIAcRlg=","ec0wqTzrYQVc91UtIdO5AyGf19fPmb7aoYdIQIAcRlg=","","旅行爱好者 时事关注者 美食爱好者","","0","2","2018-10-10","zh-cn"
"908202695294455810","Jf","Jf29625902","","","","16252","62","2017-09-14","zh-cn"
"VVzXUjBHl0tmqLMmnsZ9F5FFmWPy4lIfWi7ic5AnJUo=","VVzXUjBHl0tmqLMmnsZ9F5FFmWPy4lIfWi7ic5AnJUo=","VVzXUjBHl0tmqLMmnsZ9F5FFmWPy4lIfWi7ic5AnJUo=","","","","0","0","2017-10-16","zh-cn"
"v2rgUPNc+JedLxD6EYaSNW+ntRuHzTWc9aATKXnSvvg=","v2rgUPNc+JedLxD6EYaSNW+ntRuHzTWc9aATKXnSvvg=","v2rgUPNc+JedLxD6EYaSNW+ntRuHzTWc9aATKXnSvvg=","","","","0","0","2019-05-03","en"
"SPrlYfhFJ5u2HRl9xkJxxGRztEp94L2Ogk68DQqaLUI=","SPrlYfhFJ5u2HRl9xkJxxGRztEp94L2Ogk68DQqaLUI=","SPrlYfhFJ5u2HRl9xkJxxGRztEp94L2Ogk68DQqaLUI=","","","","0","44","2017-08-30","zh-cn"
"iLfD91kqdtqTTHWFYL2TEkKCPGjOIAi3wpCE3i0Vs=","iLfD91kqdtqTTHWFYL2TEkKCPGjOIAi3wpCE3i0Vs=","iLfD91kqdtqTTHWFYL2TEkKCPGjOIAi3wpCE3i0Vs=","","","","2","11","2017-09-23","zh-CN"
"77769365","UJHUHG","FACZDcz","Pennsylvania, USA","艳阳天","","20414","11165","2009-09-27","zh-cn"
"xGNbwa6+fqAqb2c87p8ePhRSXFv7Y71gJo4T3m5NJk=","xGNbwa6+fqAqb2c87p8ePhRSXFv7Y71gJo4T3m5NJk=","xGNbwa6+fqAqb2c87p8ePhRSXFv7Y71gJo4T3m5NJk=","","","","0","34","2017-08-18","ru"
"ZF6wy+ptDhg+hujCcCuln6K2XvMpp2h3L1YnAtEJE=","ZF6wy+ptDhg+hujCcCuln6K2XvMpp2h3L1YnAtEJE=","ZF6wy+ptDhg+hujCcCuln6K2XvMpp2h3L1YnAtEJE=","","","","0","1","2017-10-08","zh-cn"
"M5IxGVR+mb3QrJJ8LN0GlnKMDSi69j0JvXDaN1M6mF4=","M5IxGVR+mb3QrJJ8LN0GlnKMDSi69j0JvXDaN1M6mF4=","M5IxGVR+mb3QrJJ8LN0GlnKMDSi69j0JvXDaN1M6mF4=","","","","1","41","2017-08-30","zh-cn"
"kywemkSrVOPvzeRhLPfbDtbNXO9zFZlmGCbUIutqr+w=","kywemkSrVOPvzeRhLPfbDtbNXO9zFZlmGCbUIutqr+w=","kywemkSrVOPvzeRhLPfbDtbNXO9zFZlmGCbUIutqr+w=","","","","0","0","2017-11-07","en"
"8481fyoFVAwTrYHhrvt3nDvS4MpPKqwX9dcyGzrYQ=","8481fyoFVAwTrYHhrvt3nDvS4MpPKqwX9dcyGzrYQ=","8481fyoFVAwTrYHhrvt3nDvS4MpPKqwX9dcyGzrYQ=","","","","1","35","2017-08-18","zh-cn"
"0fXnLDeFG54ElVQbNh1vdO2c5oF8xW3pYuEVG8HNDM=","0fXnLDeFG54ElVQbNh1vdO2c5oF8xW3pYuEVG8HNDM=","0fXnLDeFG54ElVQbNh1vdO2c5oF8xW3pYuEVG8HNDM=","","","","1","68","2017-08-30","zh-cn"
"5XQmV7GMohSqmCK4mc0In2bxaOTQFzi4DLvkAAI=","5XQmV7GMohSqmCK4mc0In2bxaOTQFzi4DLvkAAI=","5XQmV7GMohSqmCK4mc0In2bxaOTQFzi4DLvkAAI=","","","","0","5","2012-11-20","zh-cn"
"QlOuvbnY5H35ivNcWcHtifTLn8DN84244vOyzvYj7B8=","QlOuvbnY5H35ivNcWcHtifTLn8DN84244vOyzvYj7B8=","QlOuvbnY5H35ivNcWcHtifTLn8DN84244vOyzvYj7B8=","","","","1","10","2019-02-22","zh-cn"
"rrcK4RFlBEdLh8VDqmu36Q0tDZe4pKHeh8cMngmhNbY=","rrcK4RFlBEdLh8VDqmu36Q0tDZe4pKHeh8cMngmhNbY=","rrcK4RFlBEdLh8VDqmu36Q0tDZe4pKHeh8cMngmhNbY=","","","","0","27","2017-08-18","zh-cn"
"4643144382","徐姣","i28468404206241","","","","25627","32","2015-12-24","zh-cn"
"81136659","nchdd","jdhdnchsdh","Cicero, IL","xuanjw8ireen","","11594","9658","2009-10-09","en"
"IpiJrqfCqWCkHmTQoWXNaWGkZ7935WIyGKomJT3c=","IpiJrqfCqWCkHmTQoWXNaWGkZ7935WIyGKomJT3c=","IpiJrqfCqWCkHmTQoWXNaWGkZ7935WIyGKomJT3c=","","","","0","1","2018-10-10","zh-cn"
